"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.752742122E2,3.061861540E1,-9.634069777E1,9.557694953E1,9.499999881E-1,1.468999939E2,1.020408154E0,2.000000000E0
1.762742089E2,3.061860785E1,-9.634069115E1,9.557695764E1,9.599999785E-1,1.581999969E2,1.020408154E0,2.000000000E0
1.772742058E2,3.061860010E1,-9.634068511E1,9.557696570E1,9.499999881E-1,1.613999939E2,1.020408154E0,2.000000000E0
1.782742026E2,3.061859205E1,-9.634067916E1,9.457697396E1,9.499999881E-1,1.523000031E2,1.530612230E0,2.000000000E0
1.792741994E2,3.061858371E1,-9.634067321E1,9.457698243E1,9.699999690E-1,1.476999969E2,1.530612230E0,2.000000000E0
1.802741960E2,3.061857500E1,-9.634066709E1,9.557699126E1,9.899999499E-1,1.410000000E2,1.530612230E0,2.000000000E0
1.812741928E2,3.061856615E1,-9.634066056E1,9.557700033E1,1.009999990E0,1.321999969E2,1.530612230E0,2.000000000E0
1.822741896E2,3.061855731E1,-9.634065343E1,9.557700961E1,1.039999962E0,1.373000031E2,1.530612230E0,2.000000000E0
1.832741864E2,3.061854838E1,-9.634064597E1,9.557701907E1,1.059999943E0,1.373000031E2,1.530612230E0,2.000000000E0
1.842741833E2,3.061853946E1,-9.634063818E1,9.557702866E1,1.079999924E0,1.386000061E2,1.530612230E0,2.000000000E0
1.852741801E2,3.061853045E1,-9.634063005E1,9.557703844E1,1.100000024E0,1.433999939E2,1.530612230E0,2.000000000E0
1.862741767E2,3.061852110E1,-9.634062175E1,9.457704853E1,1.110000014E0,1.376000061E2,1.530612230E0,2.000000000E0
1.872741735E2,3.061851192E1,-9.634061303E1,9.457705864E1,1.120000005E0,1.343000031E2,1.530612230E0,2.000000000E0
1.882741702E2,3.061850321E1,-9.634060448E1,9.457706834E1,1.110000014E0,1.338000031E2,1.530612230E0,2.000000000E0
1.892741670E2,3.061849466E1,-9.634059576E1,9.457707798E1,1.110000014E0,1.386000061E2,1.530612230E0,2.000000000E0
1.902741637E2,3.061848636E1,-9.634058721E1,9.457708736E1,1.090000033E0,1.430000000E2,1.530612230E0,2.000000000E0
1.912741606E2,3.061847823E1,-9.634057892E1,9.557709653E1,1.079999924E0,1.448999939E2,1.530612230E0,2.000000000E0
1.922741574E2,3.061847010E1,-9.634057079E1,9.557710564E1,1.079999924E0,1.393000031E2,1.530612230E0,2.000000000E0
1.932741542E2,3.061846205E1,-9.634056282E1,9.557711462E1,1.059999943E0,1.380000000E2,1.530612230E0,2.000000000E0
1.942741512E2,3.061845421E1,-9.634055503E1,9.557712339E1,1.049999952E0,1.390000000E2,1.530612230E0,2.000000000E0
1.952741481E2,3.061844654E1,-9.634054757E1,9.557713190E1,1.039999962E0,1.410000000E2,1.020408154E0,2.000000000E0
1.962741449E2,3.061843879E1,-9.634054019E1,9.557714045E1,1.039999962E0,1.418000031E2,1.020408154E0,2.000000000E0
1.972741418E2,3.061843091E1,-9.634053290E1,9.557714906E1,1.029999971E0,1.325000000E2,1.020408154E0,2.000000000E0
1.982741386E2,3.061842337E1,-9.634052544E1,9.557715748E1,1.029999971E0,1.175999985E2,1.020408154E0,2.000000000E0
1.992741353E2,3.061841624E1,-9.634051781E1,9.557716564E1,1.009999990E0,9.290000153E1,1.020408154E0,2.000000000E0
2.002741322E2,3.061841017E1,-9.634050993E1,9.557717310E1,9.699999690E-1,8.059999847E1,1.020408154E0,2.000000000E0
2.012741291E2,3.061840518E1,-9.634050147E1,9.557717995E1,9.399999976E-1,6.580000305E1,1.020408154E0,1.000000000E0
2.022741260E2,3.061840153E1,-9.634049275E1,9.557718587E1,8.899999857E-1,5.429999924E1,5.102040768E-1,1.000000000E0
2.032741230E2,3.061839931E1,-9.634048378E1,9.657719080E1,8.499999642E-1,4.829999924E1,1.020408154E0,2.000000000E0
2.042741198E2,3.061839839E1,-9.634047464E1,9.657719481E1,8.199999928E-1,4.650000000E1,1.020408154E0,2.000000000E0
2.052741166E2,3.061839889E1,-9.634046526E1,9.657719783E1,8.100000024E-1,4.820000076E1,1.020408154E0,2.000000000E0
2.062741133E2,3.061840069E1,-9.634045587E1,9.757719986E1,8.199999928E-1,4.590000153E1,5.102040768E-1,1.000000000E0
2.072741102E2,3.061840334E1,-9.634044648E1,9.757720126E1,8.199999928E-1,4.240000153E1,5.102040768E-1,1.000000000E0
2.082741071E2,3.061840694E1,-9.634043735E1,9.757720183E1,8.399999738E-1,4.720000076E1,5.102040768E-1,2.000000000E0
2.092741041E2,3.061841117E1,-9.634042821E1,9.757720193E1,8.599999547E-1,5.129999924E1,1.020408154E0,2.000000000E0
2.102741010E2,3.061841595E1,-9.634041907E1,9.757720162E1,8.799999952E-1,5.520000076E1,1.020408154E0,2.000000000E0
2.112740977E2,3.061842119E1,-9.634040977E1,9.757720101E1,9.099999666E-1,5.029999924E1,5.102040768E-1,2.000000000E0
2.122740946E2,3.061842689E1,-9.634040046E1,9.657720006E1,9.300000072E-1,4.740000153E1,5.102040768E-1,2.000000000E0
2.132740914E2,3.061843297E1,-9.634039124E1,9.657719879E1,9.499999881E-1,4.720000076E1,1.020408154E0,2.000000000E0
2.142740883E2,3.061843942E1,-9.634038211E1,9.657719720E1,9.799999595E-1,4.779999924E1,1.020408154E0,2.000000000E0
2.152740852E2,3.061844612E1,-9.634037306E1,9.657719540E1,9.899999499E-1,4.870000076E1,1.020408154E0,2.000000000E0
2.162740821E2,3.061845304E1,-9.634036400E1,9.657719343E1,1.009999990E0,5.040000153E1,1.020408154E0,2.000000000E0
2.172740791E2,3.061846016E1,-9.634035495E1,9.757719131E1,1.019999981E0,5.820000076E1,1.020408154E0,2.000000000E0
2.182740759E2,3.061846708E1,-9.634034565E1,9.757718943E1,1.029999971E0,5.629999924E1,1.020408154E0,2.000000000E0
2.192740727E2,3.061847399E1,-9.634033618E1,9.757718762E1,1.039999962E0,5.200000000E1,1.020408154E0,2.000000000E0
2.202740696E2,3.061848104E1,-9.634032687E1,9.757718565E1,1.049999952E0,5.229999924E1,1.020408154E0,2.000000000E0
2.212740665E2,3.061848795E1,-9.634031765E1,9.757718374E1,1.039999962E0,5.600000000E1,1.020408154E0,2.000000000E0
2.222740633E2,3.061849470E1,-9.634030843E1,9.757718196E1,1.039999962E0,5.609999847E1,1.020408154E0,2.000000000E0
2.232740602E2,3.061850140E1,-9.634029913E1,9.757718025E1,1.039999962E0,5.420000076E1,5.102040768E-1,1.000000000E0
2.242740572E2,3.061850819E1,-9.634029008E1,9.757717838E1,1.039999962E0,5.109999847E1,1.020408154E0,2.000000000E0
2.252740540E2,3.061851523E1,-9.634028102E1,9.757717632E1,1.039999962E0,5.240000153E1,1.020408154E0,2.000000000E0
2.262740509E2,3.061852227E1,-9.634027205E1,9.757717422E1,1.039999962E0,5.200000000E1,1.020408154E0,2.000000000E0
2.272740477E2,3.061852927E1,-9.634026300E1,9.757717219E1,1.049999952E0,5.209999847E1,1.020408154E0,2.000000000E0
2.282740447E2,3.061853636E1,-9.634025403E1,9.757717007E1,1.049999952E0,5.320000076E1,1.020408154E0,2.000000000E0
2.292740415E2,3.061854335E1,-9.634024498E1,9.757716804E1,1.049999952E0,5.120000076E1,1.020408154E0,2.000000000E0
2.302740386E2,3.061855027E1,-9.634023601E1,9.757716604E1,1.049999952E0,5.470000076E1,5.102040768E-1,2.000000000E0
2.312740354E2,3.061855702E1,-9.634022688E1,9.757716423E1,1.049999952E0,5.550000000E1,1.020408154E0,2.000000000E0
2.322740323E2,3.061856368E1,-9.634021782E1,9.757716246E1,1.049999952E0,5.400000000E1,1.020408154E0,2.000000000E0
2.332740290E2,3.061857034E1,-9.634020869E1,9.757716071E1,1.049999952E0,5.290000153E1,1.020408154E0,2.000000000E0
2.342740259E2,3.061857701E1,-9.634019947E1,9.757715900E1,1.049999952E0,5.009999847E1,1.020408154E0,2.000000000E0
2.352740228E2,3.061858376E1,-9.634019033E1,9.757715719E1,1.059999943E0,5.259999847E1,1.020408154E0,2.000000000E0
2.362740197E2,3.061859038E1,-9.634018119E1,9.757715547E1,1.059999943E0,5.429999924E1,1.020408154E0,2.000000000E0
2.372740167E2,3.061859696E1,-9.634017206E1,9.757715379E1,1.059999943E0,5.520000076E1,1.020408154E0,2.000000000E0
2.382740135E2,3.061860354E1,-9.634016292E1,9.657715211E1,1.059999943E0,5.200000000E1,1.020408154E0,2.000000000E0
2.392740104E2,3.061861041E1,-9.634015387E1,9.657715017E1,1.049999952E0,5.120000076E1,1.020408154E0,2.000000000E0
2.402740072E2,3.061861724E1,-9.634014473E1,9.657714830E1,1.059999943E0,5.270000076E1,1.020408154E0,2.000000000E0
2.412740040E2,3.061862411E1,-9.634013568E1,9.657714636E1,1.059999943E0,5.259999847E1,1.020408154E0,2.000000000E0
2.422740009E2,3.061863107E1,-9.634012654E1,9.657714439E1,1.059999943E0,5.300000000E1,1.020408154E0,2.000000000E0
2.432739978E2,3.061863807E1,-9.634011749E1,9.657714236E1,1.059999943E0,5.270000076E1,1.020408154E0,2.000000000E0
2.442739948E2,3.061864503E1,-9.634010852E1,9.657714033E1,1.059999943E0,6.040000153E1,1.020408154E0,2.000000000E0
2.452739916E2,3.061865182E1,-9.634009939E1,9.657713849E1,1.059999943E0,6.040000153E1,1.020408154E0,2.000000000E0
2.462739884E2,3.061865840E1,-9.634009025E1,9.657713681E1,1.059999943E0,6.059999847E1,1.020408154E0,2.000000000E0
2.472739852E2,3.061866481E1,-9.634008086E1,9.657713534E1,1.049999952E0,5.559999847E1,1.020408154E0,2.000000000E0
2.482739820E2,3.061867122E1,-9.634007164E1,9.657713382E1,1.049999952E0,5.020000076E1,1.020408154E0,2.000000000E0
2.492739789E2,3.061867772E1,-9.634006251E1,9.657713220E1,1.039999962E0,5.070000076E1,1.020408154E0,2.000000000E0
2.502739758E2,3.061868413E1,-9.634005362E1,9.657713055E1,1.019999981E0,4.850000000E1,1.020408154E0,2.000000000E0
2.512739728E2,3.061869058E1,-9.634004482E1,9.657712884E1,1.000000000E0,5.170000076E1,1.020408154E0,2.000000000E0
2.522739696E2,3.061869700E1,-9.634003619E1,9.657712710E1,9.899999499E-1,5.509999847E1,1.020408154E0,1.000000000E0
2.532739664E2,3.061870328E1,-9.634002747E1,9.657712549E1,9.899999499E-1,5.500000000E1,1.020408154E0,2.000000000E0
2.542739632E2,3.061870953E1,-9.634001884E1,9.657712388E1,9.899999499E-1,4.870000076E1,1.020408154E0,2.000000000E0
2.552739600E2,3.061871590E1,-9.634001029E1,9.657712214E1,9.799999595E-1,4.720000076E1,1.020408154E0,2.000000000E0
2.562739570E2,3.061872210E1,-9.634000191E1,9.657712047E1,9.699999690E-1,3.879999924E1,1.020408154E0,2.000000000E0
2.572739539E2,3.061872834E1,-9.633999403E1,9.657711859E1,9.499999881E-1,2.479999924E1,1.020408154E0,1.000000000E0
2.582739508E2,3.061873467E1,-9.633998690E1,9.657711637E1,9.099999666E-1,3.542000122E2,1.020408154E0,2.000000000E0
2.592739476E2,3.061874125E1,-9.633998112E1,9.657711347E1,8.499999642E-1,3.438999939E2,1.020408154E0,1.000000000E0
2.602739445E2,3.061874804E1,-9.633997651E1,9.657710999E1,8.100000024E-1,3.407999878E2,1.020408154E0,1.000000000E0
2.612739412E2,3.061875500E1,-9.633997290E1,9.657710601E1,7.799999714E-1,3.430000000E2,1.020408154E0,2.000000000E0
2.622739381E2,3.061876229E1,-9.633997039E1,9.657710139E1,7.699999809E-1,3.402999878E2,1.020408154E0,2.000000000E0
2.632739351E2,3.061877009E1,-9.633996913E1,9.657709594E1,7.799999714E-1,3.347999878E2,1.020408154E0,2.000000000E0
2.642739320E2,3.061877809E1,-9.633996888E1,9.657708996E1,7.899999619E-1,3.308999939E2,1.020408154E0,2.000000000E0
2.652739290E2,3.061878626E1,-9.633996964E1,9.657708349E1,8.100000024E-1,3.317000122E2,1.020408154E0,2.000000000E0
2.662739258E2,3.061879460E1,-9.633997123E1,9.657707658E1,8.299999833E-1,3.311000061E2,1.020408154E0,2.000000000E0
2.672739226E2,3.061880319E1,-9.633997366E1,9.657706919E1,8.499999642E-1,3.295000000E2,1.020408154E0,2.000000000E0
2.682739194E2,3.061881199E1,-9.633997701E1,9.657706130E1,8.799999952E-1,3.297000122E2,1.020408154E0,2.000000000E0
2.692739163E2,3.061882080E1,-9.633998087E1,9.657705323E1,8.999999762E-1,3.342999878E2,1.020408154E0,2.000000000E0
2.702739132E2,3.061882968E1,-9.633998506E1,9.657704498E1,9.300000072E-1,3.322000122E2,1.020408154E0,2.000000000E0
2.712739101E2,3.061883857E1,-9.633998967E1,9.657703657E1,9.499999881E-1,3.316000061E2,1.020408154E0,2.000000000E0
2.722739071E2,3.061884762E1,-9.633999461E1,9.657702792E1,9.599999785E-1,3.307999878E2,1.020408154E0,2.000000000E0
2.732739038E2,3.061885663E1,-9.633999989E1,9.657701917E1,9.699999690E-1,3.296000061E2,1.020408154E0,2.000000000E0
2.742739006E2,3.061886572E1,-9.634000551E1,9.657701024E1,9.899999499E-1,3.271000061E2,1.020408154E0,2.000000000E0
2.752738974E2,3.061887461E1,-9.634001146E1,9.657700135E1,9.899999499E-1,3.268999939E2,1.020408154E0,2.000000000E0
2.762738943E2,3.061888341E1,-9.634001733E1,9.657699255E1,1.000000000E0,3.280000000E2,1.020408154E0,2.000000000E0
2.772738912E2,3.061889204E1,-9.634002303E1,9.657698394E1,1.000000000E0,3.263999939E2,1.020408154E0,2.000000000E0
2.782738881E2,3.061890047E1,-9.634002881E1,9.657697546E1,9.899999499E-1,3.222999878E2,1.020408154E0,2.000000000E0
2.792738850E2,3.061890860E1,-9.634003493E1,9.657696708E1,9.899999499E-1,3.105000000E2,1.020408154E0,2.000000000E0
2.802738818E2,3.061891627E1,-9.634004147E1,9.657695890E1,9.799999595E-1,3.073999939E2,1.020408154E0,2.000000000E0
2.812738785E2,3.061892368E1,-9.634004817E1,9.657695085E1,9.699999690E-1,3.032999878E2,1.020408154E0,2.000000000E0
2.822738753E2,3.061893051E1,-9.634005513E1,9.657694315E1,9.599999785E-1,2.998999939E2,1.020408154E0,2.000000000E0
2.832738723E2,3.061893693E1,-9.634006234E1,9.657693568E1,9.399999976E-1,2.962000122E2,1.530612230E0,2.000000000E0
2.842738691E2,3.061894284E1,-9.634006988E1,9.657692847E1,9.300000072E-1,2.962999878E2,1.020408154E0,2.000000000E0
2.852738660E2,3.061894845E1,-9.634007785E1,9.657692133E1,9.300000072E-1,3.057999878E2,1.530612230E0,2.000000000E0
2.862738628E2,3.061895398E1,-9.634008606E1,9.657691417E1,9.300000072E-1,3.115000000E2,1.530612230E0,2.000000000E0
2.872738596E2,3.061895926E1,-9.634009436E1,9.657690716E1,9.399999976E-1,3.057999878E2,1.530612230E0,2.000000000E0
2.882738564E2,3.061896434E1,-9.634010291E1,9.657690022E1,9.399999976E-1,2.982999878E2,1.530612230E0,2.000000000E0
2.892738532E2,3.061896932E1,-9.634011196E1,9.657689316E1,9.699999690E-1,2.920000000E2,1.530612230E0,2.000000000E0
2.902738500E2,3.061897398E1,-9.634012160E1,9.657688615E1,9.899999499E-1,2.830000000E2,1.530612230E0,2.000000000E0
2.912738468E2,3.061897808E1,-9.634013157E1,9.657687943E1,1.000000000E0,2.788999939E2,1.020408154E0,2.000000000E0
2.922738438E2,3.061898185E1,-9.634014205E1,9.657687278E1,1.009999990E0,2.796000061E2,1.020408154E0,2.000000000E0
2.932738406E2,3.061898546E1,-9.634015270E1,9.657686619E1,1.000000000E0,2.842000122E2,1.020408154E0,2.000000000E0
2.942738374E2,3.061898902E1,-9.634016342E1,9.657685961E1,9.899999499E-1,2.867999878E2,1.020408154E0,2.000000000E0
2.952738342E2,3.061899229E1,-9.634017407E1,9.757685328E1,9.799999595E-1,3.032999878E2,1.020408154E0,2.000000000E0
2.962738310E2,3.061899577E1,-9.634018446E1,9.757684688E1,9.699999690E-1,3.010000000E2,1.020408154E0,2.000000000E0
2.972738279E2,3.061899941E1,-9.634019469E1,9.757684042E1,9.599999785E-1,2.868999939E2,1.530612230E0,2.000000000E0
2.982738247E2,3.061900281E1,-9.634020483E1,9.757683417E1,9.499999881E-1,2.827999878E2,1.020408154E0,2.000000000E0
2.992738216E2,3.061900604E1,-9.634021489E1,9.757682809E1,9.399999976E-1,2.708999939E2,1.020408154E0,2.000000000E0
3.002738184E2,3.061900872E1,-9.634022520E1,9.757682233E1,9.499999881E-1,2.742999878E2,1.020408154E0,2.000000000E0
3.012738152E2,3.061901144E1,-9.634023559E1,9.757681650E1,9.499999881E-1,2.857999878E2,1.020408154E0,2.000000000E0
3.022738119E2,3.061901417E1,-9.634024599E1,9.757681068E1,9.499999881E-1,3.126000061E2,1.020408154E0,2.000000000E0
3.032738088E2,3.061901727E1,-9.634025596E1,9.757680472E1,9.399999976E-1,3.312000122E2,1.020408154E0,2.000000000E0
3.042738057E2,3.061902112E1,-9.634026535E1,9.757679840E1,9.199999571E-1,3.423999939E2,1.020408154E0,2.000000000E0
3.052738026E2,3.061902573E1,-9.634027407E1,9.757679175E1,8.899999857E-1,3.495000000E2,1.020408154E0,2.000000000E0
3.062737994E2,3.061903106E1,-9.634028203E1,9.757678483E1,8.700000048E-1,3.491000061E2,1.020408154E0,2.000000000E0
3.072737962E2,3.061903713E1,-9.634028907E1,9.757677768E1,8.700000048E-1,3.483999939E2,1.020408154E0,2.000000000E0
3.082737930E2,3.061904371E1,-9.634029552E1,9.757677035E1,8.700000048E-1,3.308999939E2,1.020408154E0,2.000000000E0
3.092737897E2,3.061905088E1,-9.634030215E1,9.757676252E1,9.300000072E-1,3.217999878E2,1.020408154E0,2.000000000E0
3.102737867E2,3.061905838E1,-9.634030877E1,9.657675444E1,9.699999690E-1,3.326000061E2,1.020408154E0,2.000000000E0
3.112737835E2,3.061906605E1,-9.634031505E1,9.657674635E1,9.899999499E-1,3.317999878E2,1.020408154E0,2.000000000E0
3.122737804E2,3.061907389E1,-9.634032126E1,9.657673817E1,1.019999981E0,3.281000061E2,1.020408154E0,2.000000000E0
3.132737773E2,3.061908189E1,-9.634032763E1,9.657672979E1,1.029999971E0,3.231000061E2,5.102040768E-1,2.000000000E0
3.142737740E2,3.061908998E1,-9.634033391E1,9.657672139E1,1.029999971E0,3.195000000E2,5.102040768E-1,2.000000000E0
3.152737708E2,3.061909803E1,-9.634034012E1,9.657671304E1,1.029999971E0,3.221000061E2,5.102040768E-1,2.000000000E0
3.162737676E2,3.061910603E1,-9.634034615E1,9.657670479E1,1.029999971E0,3.153999939E2,1.020408154E0,2.000000000E0
3.172737645E2,3.061911399E1,-9.634035252E1,9.657669645E1,1.039999962E0,3.098999939E2,1.020408154E0,2.000000000E0
3.182737613E2,3.061912171E1,-9.634035914E1,9.657668821E1,1.029999971E0,3.046000061E2,1.020408154E0,2.000000000E0
3.192737581E2,3.061912921E1,-9.634036610E1,9.657668000E1,1.029999971E0,3.018999939E2,1.020408154E0,2.000000000E0
3.202737549E2,3.061913642E1,-9.634037348E1,9.657667187E1,1.029999971E0,3.001000061E2,1.020408154E0,2.000000000E0
3.212737518E2,3.061914325E1,-9.634038127E1,9.657666387E1,1.029999971E0,2.962999878E2,1.020408154E0,2.000000000E0
3.222737486E2,3.061914970E1,-9.634038948E1,9.657665601E1,1.029999971E0,2.928999939E2,1.020408154E0,2.000000000E0
3.232737455E2,3.061915578E1,-9.634039795E1,9.657664834E1,1.019999981E0,2.918999939E2,1.020408154E0,2.000000000E0
3.242737424E2,3.061916144E1,-9.634040675E1,9.657664086E1,1.009999990E0,2.882000122E2,1.020408154E0,2.000000000E0
3.252737392E2,3.061916668E1,-9.634041597E1,9.657663356E1,1.009999990E0,2.853999939E2,1.020408154E0,2.000000000E0
3.262737359E2,3.061917124E1,-9.634042536E1,9.657662670E1,1.000000000E0,2.810000000E2,1.020408154E0,2.000000000E0
3.272737327E2,3.061917527E1,-9.634043517E1,9.657662010E1,1.000000000E0,2.782999878E2,1.020408154E0,2.000000000E0
3.282737294E2,3.061917870E1,-9.634044522E1,9.657661386E1,1.000000000E0,2.766000061E2,1.020408154E0,2.000000000E0
3.292737263E2,3.061918164E1,-9.634045537E1,9.657660797E1,9.899999499E-1,2.712999878E2,5.102040768E-1,2.000000000E0
3.302737230E2,3.061918415E1,-9.634046551E1,9.657660239E1,9.699999690E-1,2.687999878E2,5.102040768E-1,1.000000000E0
3.312737199E2,3.061918620E1,-9.634047582E1,9.657659711E1,9.599999785E-1,2.713999939E2,1.020408154E0,2.000000000E0
3.322737166E2,3.061918792E1,-9.634048630E1,9.657659202E1,9.599999785E-1,2.722999878E2,1.020408154E0,2.000000000E0
3.332737133E2,3.061918935E1,-9.634049686E1,9.657658712E1,9.599999785E-1,2.757999878E2,1.020408154E0,2.000000000E0
3.342737100E2,3.061919061E1,-9.634050750E1,9.657658231E1,9.699999690E-1,2.851000061E2,1.020408154E0,2.000000000E0
3.352737067E2,3.061919195E1,-9.634051823E1,9.657657742E1,9.699999690E-1,2.917000122E2,1.020408154E0,2.000000000E0
3.362737035E2,3.061919346E1,-9.634052888E1,9.657657242E1,9.699999690E-1,2.972000122E2,1.020408154E0,2.000000000E0
3.372737003E2,3.061919530E1,-9.634053952E1,9.657656718E1,9.699999690E-1,3.002999878E2,1.020408154E0,2.000000000E0
3.382736970E2,3.061919739E1,-9.634055008E1,9.657656177E1,9.699999690E-1,3.043999939E2,1.020408154E0,2.000000000E0
3.392736938E2,3.061919999E1,-9.634056048E1,9.657655604E1,9.699999690E-1,3.105000000E2,1.020408154E0,2.000000000E0
3.402736905E2,3.061920318E1,-9.634057062E1,9.657654996E1,9.699999690E-1,3.237000122E2,1.020408154E0,2.000000000E0
3.412736871E2,3.061920695E1,-9.634058009E1,9.657654367E1,9.499999881E-1,3.251000061E2,1.020408154E0,2.000000000E0
3.422736838E2,3.061921131E1,-9.634058906E1,9.657653713E1,9.399999976E-1,3.223999939E2,1.020408154E0,2.000000000E0
3.432736806E2,3.061921625E1,-9.634059786E1,9.657653019E1,9.399999976E-1,3.207999878E2,1.020408154E0,2.000000000E0
3.442736774E2,3.061922174E1,-9.634060632E1,9.657652297E1,9.399999976E-1,3.171000061E2,1.020408154E0,2.000000000E0
3.452736742E2,3.061922753E1,-9.634061454E1,9.657651562E1,9.399999976E-1,3.145000000E2,1.020408154E0,2.000000000E0
3.462736707E2,3.061923365E1,-9.634062275E1,9.657650801E1,9.499999881E-1,3.177000122E2,1.020408154E0,2.000000000E0
3.472736673E2,3.061923993E1,-9.634063063E1,9.657650039E1,9.399999976E-1,3.181000061E2,1.020408154E0,1.000000000E0
3.482736639E2,3.061924639E1,-9.634063843E1,9.657649268E1,9.499999881E-1,3.202000122E2,1.020408154E0,2.000000000E0
3.492736605E2,3.061925288E1,-9.634064605E1,9.557648500E1,9.399999976E-1,3.102999878E2,1.020408154E0,1.000000000E0
3.502736572E2,3.061925934E1,-9.634065377E1,9.557647732E1,9.399999976E-1,3.077999878E2,1.020408154E0,2.000000000E0
3.512736540E2,3.061926583E1,-9.634066156E1,9.557646957E1,9.399999976E-1,3.097999878E2,1.020408154E0,1.000000000E0
3.522736507E2,3.061927204E1,-9.634066910E1,9.557646214E1,9.300000072E-1,3.182000122E2,1.020408154E0,1.000000000E0
3.532736702E2,3.061927815E1,-9.634067640E1,9.557645487E1,9.099999666E-1,3.195000000E2,1.020408154E0,1.000000000E0
